111,199
106,213
94,218
100,193
102,204
92,199
104,230
108,200
100,222
114,166
107,226
89,215
112,187
124,189
118,192
100,179
115,191
85,209
98,184
104,218
90,170
106,210
93,204
111,209
92,190
95,198
102,203
94,181
98,188
101,203
105,224
91,204
87,164
103,203
87,200
102,190
107,222
102,208
93,199
116,216
102,196
103,182
97,211
101,181
92,181
116,200
108,212
93,186
112,208
96,194
96,202
108,217
88,181
103,215
113,185
99,202
91,197
99,207
109,199
92,194
122,192
106,207
99,191
110,189
91,212
95,199
109,215
107,200
91,188
110,195
113,211
102,204
103,205
95,200
94,205
109,216
90,192
110,210
91,204
104,193
101,227
79,185
95,201
91,196
86,190
89,207
98,188
103,213
92,217
96,192
104,212
99,205
104,198
99,186
86,206
95,211
95,203
99,189
102,181
123,228
111,181
85,186
117,220
102,191
91,194
95,211
111,173
97,172
119,211
83,213
108,201
101,210
100,204
105,196
93,196
112,177
101,222
84,195
112,199
95,184
97,204
107,219
104,203
87,193
93,200
94,222
92,201
96,190
92,215
88,186
94,208
108,199
103,192
99,203
115,174
111,211
99,234
91,204
104,199
94,206
99,196
98,195
108,219
80,214
93,214
78,201
117,204
92,191
102,195
96,205
105,201
116,204
104,193
104,180
97,211
84,188
101,209
96,211
109,226
87,236
108,171
95,207
98,204
110,182
102,206
103,193
109,213
82,183
108,187
63,204
100,214
110,191
104,213
96,192
95,189
97,206
93,202
100,215
95,196
84,190
105,198
92,189
112,202
109,202
101,204
101,191
98,219
106,205
96,223
109,195
104,180
101,196
92,216
109,190
93,194
95,206
93,198
96,212
105,198
105,222
105,193
108,207
87,193
98,224
115,232
104,204
100,166
99,203
103,186
105,190
82,197
96,174
96,233
92,192
101,193
122,180
96,212
102,206
106,169
103,182
100,182
100,183
94,200
89,217
117,211
100,208
98,208
86,184
112,197
109,197
98,191
97,196
93,219
99,209
102,210
83,197
101,190
123,188
103,185
110,198
104,190
100,200
95,189
98,200
102,199
109,210
91,224
94,189
94,191
87,194
99,210
105,175
109,186
84,195
113,203
107,202
97,187
105,188
110,221
93,201
98,208
105,191
96,185
115,210
96,214
99,206
100,178
108,186
99,194
96,220
98,190
108,199
103,201
96,169
107,216
103,201
105,208
97,192
99,196
107,179
99,190
97,190
114,211
104,214
103,210
111,185
98,200
91,190
99,208
95,198
110,199
98,190
110,209
93,201
106,179
93,158
97,223
95,210
94,212
107,188
97,181
117,189
83,187
88,189
80,186
88,224
91,220
98,186
102,209
94,157
96,214
81,204
104,203
115,194
86,178
112,218
99,197
114,216
113,225
90,227
114,228
109,225
